	A1004	Arecibo 	Arecibo Observatory
68434	291262	RAS Geop Svc Obninsk	RAS, Geophysical Service, Obninsk
68434	307735	RAS Inst Cosmophys Res Aero	RAS, Institute of Cosmophysical Research and Aeronomy
	68597	Karpinsky Geo Inst	Karpinsky Geological Institute
	68600	Cen Inst Roentgen Radiol	Central Institute of Roentgenology and Radiology
	68634	JINR Dubna	Joint Institute for Nuclear Research, Dubna
	68636	Kurchatov Inst	Kurchatov Institute, Moscow
68636	68421	PNPI	Petersburg Nuclear Physics Institute
68636	68641	IHEP	Institute for High Energy Physics, Moscow
	68637	RFNC	Russian Federal Nuclear Center
68640	133908	Inst Solid St Chem	Institute of Solid State Chemistry, Ekaterinburg
68640	133915	Inst Contin Media Mech	Institute of Continuous Media Mechanics
68640	68643	Inst Metal Phy	Institute of Metal Physics, Ekaterinburg
	68779	Mansoura U	Mansoura University, Egypt
	68781	Tanta U	Tanta University, Egypt
	68786	Mnstry Hi Educ Sci Res	Ministry for Higher Education and the State for Scientific Research, Egypt
68786	113310	Natl Inst Ocean Fisheries	National Institute of Oceanography and Fisheries, Egypt
68786	124207	Natl Res Inst Ast Geop	National Research Institute of Astronomy and Geophysics
68786	68787	Natl Res Ctr	National Research Centre, Egypt
	68791	Ain Shams U	Ain Shams University, Egypt
	68796	Assiut U	Assiut University, Egypt
	68799	Zagazig U	Zagazig University, Egypt
	68816	Benha U	Benha University, Egypt
	68831	Suez Canal U	Suez Canal University, Egypt
	68843	Minia U	Minia University, Egypt
	68849	Menoufia U	Menoufia University, Egypt
	68889	Sohag U	Sohag University, Egypt
	68891	Egypt Geo Surv Min Auth	Egyptian Geological Survey and Mining Authority
	68892	Egypt Atom En Auth	Egyptian Atomic Energy Authority
	68898	S Valley U	South Valley University, Egypt
	68900	Helwan U	Helwan University, Egypt
	68912	SASA	Slovenian Academy of Sciences and Arts
68912	61790	IJS	Jozef Stefan Institute, Ljubljana
	68987	ESA Paris	European Space Agency, Paris
68987	120422	CAB Madrid	Center for Astrobiology, Madrid
68987	39410	ESOC	European Space Operations Center, Darmstadt
68987	55957	ESTEC	European Space Research and Technology Centre
68987	69269	ESAC	European Science and Astronomy Center
68987	69270	EAC Cologne	European Astronaut Center, Cologne
68987	A1300	Norweg Sp Ctr	Norwegian Space Center
68987	A1321	Madrid Deep Sp Comm	Madrid Deep Space Communication
68987	A1324	LAEFF	Laboratory for Space Astrophysics and Theoretical Physics
68987	A1376	ESRIN	European Space Research Institute
68987	A1397	ASDC	ASI Science Data Center
	68992	Hellenic Open U	Hellenic Open University
	68993	U Athens	National and Kapodistrian University of Athens
68993	130169	U Athens Dep Phy	University of Athens, Department of Physics
68993	A1429	U Athens Dep Ast	University of Athens, Department of Astronomy
	68994	TU Athens	Technical University of Athens
	68996	Harokopio U	Harokopio University
	68997	Ionian U	Ionian University
	68998	U Aegean	University of the Aegean
	69000	U Pireaus	University of Pireaus
	69002	TU Crete	Technical University of Crete
	69091	Hellenic Mnstry Cult	Hellenic Ministry of Culture
	69100	Acad Athens	Academy of Athens
69100	A1426	Acad Athens Res Ctr Ast App Math	Academy of Athens, Research Center for Astronomy and Applied Mathematics
69100	A1427	Acad Athens Off Sp Res	Academy of Athens, Office of Space Research
	69104	Tech Educ Inst Athens	Technical Educational Institute of Athens
	69211	U Poloponnese	University of Poloponnese
	69240	ENSICAEN	Ecole Nationale Superieure d'Ingenieurs de Caen
69264	124105	CESR Toulouse	Center d'Etude Spatiale des Rayonnements
69264	131854	Obs Mid Pyrenees LEGOS	Observatoire Mid Pyrenees, LEGOS, Laboratoire d'Etudes en Geophysique et Oceanographie Spatiales
69264	A1283	Obs Mid Pyrenees LMTG	Observatoire Mid Pyrenees, LMTG, Laboratoire des Mecanismes et Transferts en Geologie
69264	A1284	Obs Mid Pyrenees DTP	Observatoire Mid Pyrenees, DTP, Laboratoire de Dynamique Terrestre et Planetaire
	69695	Jan Dlugosza U	Jan Dlugosza University
	69697	U Podlasie	University of Podlasie
	69698	Mil U Tech Warsaw	Military University of Technology, Warsaw
	69701	Soltan Inst Nuc Stud	Soltan Institute for Nuclear Studies
	69704	ITE Warsaw	Institute of Electron Technology, Warsaw
	69903	Malaysian Nuc Agency	Malaysian Nuclear Agency
	70291	Austr Bureau Metr	Australian Bureau of Meteorology
70291	124135	IPS Rad Sp Svc	IPS Radio and Space Services
70291	A1675	CASWR	Centre for Australian Weather and Climate Research
	70309	Kaunas Tech U 	Kaunas Technical University
	70493	VU Brussels	Vrije Universiteit, Brussels
70493	401978	VU Brussels Ast Astrop Res Group	Vrije Universiteit, Brussels, Astronomy and Astrophysics Research Group
70493	417398	VU Brussels Dep Phy	Vrije Universiteit, Brussels, Department of Physics
70493	A1241	VU Brussels Earth Sys Sci Dep	Vrije Universiteit, Brussels, Earth System Science Department
	70597	Harwell Sci Innovation Campus	Harwell Science and Innovation Campus
	70670	U Lagos	University of Lagos, Nigeria
	70679	U Fort Hare	University of Fort Hare
	70683	CPUT	Cape Peninsula University of Technology, South Africa
	70821	IPIMAR	Portuguese Institute for the Sea and Atmosphere, Lisbon
	70866	Poly Inst Leiria	Polytechnic Institute of Leiria
	70887	Lusofona U	Lusofona University, Lisbon
	70912	LNEG Natl Lab En Geol Portugal	LNEG, National Laboratory of Energy and Geology, Portugal
	70922	Poly Inst Porto	Polytechnic Institute of Porto, Portugal
	70924	Poly Inst Tomar	Polytechnic Institute of Tomar, Portugal
	70984	U Azores	University of Azores, Portugal
	70985	U Algarve	University of Algarve, Portugal
	70989	U Evora	University of Evora, Portugal
	70990	Fernando Pessoa U	Fernando Pessoa University
	71066	Dezhou U	Dezhou University, China
	71072	Nanyang Norm U	Nanyang Normal University, China
	71119	Hong Kong Obs	Hong Kong Observatory
	71127	Nanjing U Info Sci Tech	Nanjing University of Information Science and Technology, China
	71136	China U Petro Huadong	China University of Petroleum, Huadong
	71148	SW Inst Phy China	Southwestern Institute of Physics, China
	71181	Shijiazhuang U	Shijiazhuang University, China
	71206	Guizhou U	Guizhou University, China
	71207	Guilin U Elec Tech	Guilin University of Electronic Technology, China
	71233	Zhejiang Ocean U	Zhejiang Ocean University, China
	71662	Chin Nav Acad	Chinese Naval Academy
	72207	BGR Cen Seis Obs	Central Seismological Observatory, Erlangen
	72385	Peter Pazmany Cath U	Peter Pazmany Catholic University, Budapest
	72585	Natl U Singapore	National University of Singapore
72585	203287	Singapore-MIT Alliance Res Tech Ctr	Singapore-MIT Alliance for Research and Technology Center
72585	215139	Natl U Singapore Dep Phy	National University of Singapore, Department of Physics
	72594	GC U Faisalabad	Government College University Faisalabad, Indonesia
	72896	Triura U	Triura University, India
	72989	NGI	Norwegian Geotechnical Institute
	72990	NORSAR Tech Sci Res Council	NORSAR, Norwegian Technical Science Research Council
	73052	Span Natl Obs Madrid	Spanish National Observatory, Madrid
	73359	Komazawa U	Komazawa University, Japan
	73481	Japan Met Agency	Japan Meteorological Agency
73481	198735	Kakioka Magn Obs	Kakioka Magnetic Observatory
73481	198768	Sapporo Dist Met Obs	Sapporo District Meteorological Observatory
73481	73482	Fukuoka Dist Met Obs	Fukuoka District Meteorological Observatory
73481	73763	Osaka Dist Met Obs	Osaka District Meteorological Observatory
73481	73818	Sendai Dist Met Obs	Sendai District Meteorological Observatory
73481	74269	Matsushiro Seis Obs	Matsushiro Seismological Observatory
73481	83525	Met Res Inst Tsukuba	Meteorological Research Institute, Tsukuba
	73524	Future U Hakodate	Future University Hakodate, Japan
	73617	Hot Spring Res Inst	Hot Spring Research Institute, Japan
	73659	Natl Res Inst Fisheries Sci	National Research Institute of Fisheries Science, Japan
	73758	Natl Res Ctr Dis Prev Japan	National Research Center for Disaster Prevention, Japan
	73769	Sumitomo Elec Ind	Sumitomo Electric Industries Ltd, Japan
	73885	Nagoya Womens U	Nagoya Womens University, Japan
	73923	Met Coll Japan	Meteorological College, Japan
	74063	Res Inst Innovative Tech Earth Japan	Research Institute of Innovative Technology for the Earth, Japan
	74251	Geos Info Auth Japan	Geospatial Information Authority of Japan
	74346	St U W Para	State University of West Para, Brazil
	74350	CBPF	CBPF Brazilian Center for Physics Research
	74354	Fed U Tech Parana	Federal University of Technology, Parana
	74355	Fed Ctr Tech Educ	Federal Center of Technological Education, Brazil
	74360	ITA, Brazil	Instituto Tecnologico de Aeronautica, Sao Jose dos Campos, Brazil
	74361	Santa Cruz St U	Santa Cruz State University, Brazil
	74362	Fed U ABC	Federal University of ABC, Brazil
	74382	U Santa Catarina St	University of Santa Catarina State, Brazil
	74383	Fed U Sao Joao	Federal University of Sao Joao, Brazil
	74385	Fed U Tocantins	Federal University of Tocantins, Brazil
	74391	Fed U Sergipe	Federal University of Sergipe, Brazil
	74422	U Split	University of Split
	74441	Acad Sci Moldova	Academy of Sciences of Moldova
	74455	U Zilina	University of Zilina
	74462	Armenian NAS	Armenian National Academy of Sciences
74462	230747	Byurakan Astrop Obs	Byurakan Astrophysical Observatory
74462	A1452	Garny Sp Ast Inst	Garny Space Astronomy Institute
	74489	Philosopher U Nitra	Philosopher University of Nitra
	74495	PLA	Peoples Liberation Army, China
	74505	Chin Acad Geo Sci	Chinese Academy of Geological Sciences
74505	124165	CAGS Inst Geol	CAGS, Institute of Geology
	74537	China U Petro Beijing	China University of Petroleum, Beijing
	74547	Dalian U	Dalian University, China
	74595	Shanghai Ocean U	Shanghai Ocean University, China
	74602	SW Petro U	Southwest Petroleum University, China
	74684	Beijing U Agr	Beijing University of Agriculture
	74691	China Met Admin	China Meteorological Administration
74691	248884	China Acad Met Sci	China Academy of Meteorological Sciences
74691	53016	CAS Natl Sp Sci Ctr Beijing	CAS, National Space Science Center, Beijing
	74707	Chengdu U	Chengdu University, China
	74736	Changchun U	Changchun University, China
	74789	Shandong U Sci Tech	Shandong University of Science and Technology, China
	74848	Ryl Obs Belgium	Royal Observatory of Belgium
74848	A1243	Ryl Obs Belgium Dep Solar Phy	Royal Observatory of Belgium, Department of Solar Physics
	74870	Ryl Mil Acad Belgium	Royal Military Academy of Belgium
	74974	Berhampur U	Berhampur University, India
	74998	W Bengal U Tech	West Bengal University of Technology
	75029	Tilka Manjhi Bhagalpur U	Tilka Manjhi Bhagalpur University, India
	75082	Jiwaja U	Jiwaja University, India
	75103	Jawaharlal Nehru Tech U	Jawaharlal Nehru Technological University, Hyderabad
	75123	Punjab Tech U	Punjab Technical University
	75613	BRA Bihar U	BRA Bihar University, India
	76313	Gov Auton Coll	Government Autonomous College, India
	76322	Nagpur U	Nagpur University, India
	76793	Manipal U	Manipal University, India
	78081	Veer Kunwar Singh U	Veer Kunwar Singh University, India
	79436	Sharda Group Inst	Sharda Group of Institutions, India
	79471	MAEER	Maharashtra Academy of Engineering Education and Research, India
	80493	MUICT	Institute of Chemical Technology, Mumbai
	81872	U Luxembourg	University of Luxembourg
	82505	Siberian St U	Siberian State University
	82968	VNIITF	VNIITF, Russian Federal Nuclear Institute
	83140	Cath U Valencia	Catholic University of Valencia
	83332	ASI	Italian Space Agency
83332	A1376	ESRIN	European Space Research Institute
83332	A1397	ASDC ASI Sci Data Ctr	ASI Science Data Center
	83415	U Leuven	Universite Catholique de Leuven
83415	193389	U Leuven Dep Phy	Universite Catholique de Leuven, Department of Physics
83415	193390	U Leuven Dep Ast Geop	Universite Catholique de Leuven, Department of Astronomy and Geophysics
	83527	KACST	King Abdulaziz City for Science And Technology, Riyadh
	83529	Tech Educ Inst Cen Macedonia	Technical Educational Institute of Central Macedonia, Seres
	83546	Chuo U	Chuo University, Japan
	83861	NAS	National Academy of Sciences
	83949	IHI Co	IHI Corporation, Japan
	83974	RIST Japan	Research Organization for Information Science and Technology, Japan
	84012	PWRI Japan	Public Works Research Institute, Japan
	84131	Shonan Inst Tech	Shonan Institute of Technology, Japan
	84146	Nikon	Nikon Corporation
	84159	Aichi Toho U	Aichi Toho University, Japan
84294	123971	IRFU	Institut de Recherche sur les Lois Fondamentales de l'Universe
84294	129728	CEA Saclay Svc Astrop	CEA Saclay, Service d'Astrophysique
84294	129878	CEA Inst Phy Theo	CEA, Institut de Physique Theorique
84294	A1253	CEA Saclay Svc Aero	CEA Saclay, Service d'Aeronomie
84294	A1296	CEA Saclay Svc Phy	CEA Saclay, Service de Physique
	84331	Inst Natl Geog	Institut National de Geographique
	84398	C2RMF	Centre de Recherche et de Restauration des Musees de France
	84498	Jacobs U Bremen	Jacobs University, Bremen
	84514	Euro Org Expl Met Sat	European Organization for the Exploration of Meteorological Satellites
	84981	U Novi Sod	University of Novi Sod
	85013	Atom En Comm Syria	Atomic Energy Commission of Syria
	85024	China Med U	China Medical University, Shengjing
	85053	Inst Adv Stud Venezuela	Institute for Advanced Studies, Venezuela
	85334	Estonian Agr U	Estonian Agricultural University
85384	85403	CAS Nanjing Inst Ast Opt Tech	CAS, Nanjing Institute of Astronomical Optics and Technology
85415	47849	CAS Inst Phy Beijing	CAS, Institute of Physics, Beijing
85415	53016	CAS Natl Sp Sci Ctr Beijing	CAS, National Space Science Center, Beijing
85415	53023	CAS Inst Mech	CAS, Institute of Mechanics
85415	53031	CAS Natl Ast Obs	CAS, National Astronomical Observatories
85415	58289	CAS Inst Geog Sci Nat Res Res	CAS, Institute of Geographic Sciences and Natural Resources Research
85415	66451	CAS Inst Geol Geop	CAS, Institute of Geology and Geophysics
85415	71035	CAS Inst Hi En Phy Beijing	CAS, Institute of High Energy Physics, Beijing
85415	71036	CAS Inst Theo Phy Beijing	CAS, Institute of Theoretical Physics, Beijing
85415	74516	CAS Inst Remote Sensing Digital Earth Beijing	CAS, Institute of Remote Sensing and Digital Earth, Beijing
85415	74519	Grad U CAS	Graduate University of the Chinese Academy of Sciences, Beijing
85415	74521	CAS Inst Atmos Phy Beijing	CAS, Institute of Atmospheric Physics, Beijing
85415	74529	CAS Inst Tibetan Plateau Res	CAS, Institute of Tibetan Plateau Research
85415	85320	CAS Acad Math Sys Sci	CAS, Academy of Mathematics and Systems Science
85415	85396	CAS Acad Opto-Elec	CAS, Academy of Opto-Electronics
85415	A1560	CAS Beijing Natl Obs	CAS, Beijing National Observatory
85415	A1562	CAS Beijing Astrop Ctr	CAS, Beijing Astrophysical Center
85415	A1565	Kavli Inst Ast Astrop	Kavli Institute for Astronomy and Astrophysics
85425	85408	CAS Inst Geoch	CAS, Institute of Geochemistry
85429	74762	CAS Natl Time Svc Ctr	CAS, National Time Service Center
	85458	U Ontario Inst Tech	University of Ontario Institute of Technology
	86754	Ryl Met Inst Belgium	Royal Meteorological Institute of Belgium
	86904	ICHTJ Warsaw	Institute of Nuclear Chemistry and Technology, Warsaw
	86907	IGiK Warsaw	Institute of Geodesy and Cartography, Warsaw
	86923	Kielce U Tech	Kielce University of Technology
	87016	Danish Met Inst	Danish Meteorological Institute
	87109	U Faroe Islands	University of the Faroe Islands
	87171	Slovak Acad Sci	Slovak Academy of Sciences
	87188	U Plovdiv	University of Plovdiv
	87241	Klaipeda U 	Klaipeda University
	87246	Vilnius Ped U 	Vilnius Pedagogical University
	87254	Riga Tech U	Riga Technical University
	87266	Stefan cel Mare U Suceava	Stefan cel Mare University of Suceava
	87271	TU Iasi	Technical University of Iasi
	87276	TU Kosice	Technical University of Kosice
	87472	Norweg Inst Air Res	Norwegian Institute for Air Research
	87749	MeteoSwiss Swiss Fed Off Met Cli	MeteoSwiss, Swiss Federal Office for Meteorology and Climatology
	87787	KOPTI	Korea Photonics Technology Institute
	87791	Samsung	Samsung Co, South Korea
	87796	Res Inst Indus Sci Tech	Research Institute of Industrial Science and Technology, Korea
	87811	CIRA	Italian Aerospace Research Center
	88281	Hokkaido Inst Tech	Hokkaido Institute of Technology, Japan
	88298	ITC Okayama	Industrial Technology Center, Okayama Prefecture
	88299	ITC Wakayama	Industrial Technology Center, Wakayama Prefecture
	88383	Natl Inst Res Env Japan	National Institute for Resources and Environment, Japan
	88420	Res Inst Humanity Nature Kyoto	Research Institute for Humanity and Nature, Kyoto
	88488	Toyota 	Toyota Industries Corporation
	88492	U Kindai Himeji 	University of Kindai Himeji, Japan
	88525	ENSMM	Ecole Nationale Superieure de Mecanique et Microtechniques de Besancon
88525	88524	FEMTO-ST	Franche-Comte Electronics Mechanics Thermal Science and Optics - Sciences and Technologies, France
	88597	U Algiers	University of Algiers, Algeria
	88645	ENSHMG	Ecole Nationale Superieure de Hydraulique et Mecanique de Grenoble
	88913	Intl U Bremen	International University of Bremen
89107	104703	RAS Inst Volc Seis	RAS, Institute of Volcanology and Seismology
	89110	Fed U Roraima	Federal University of Roraima, Brazil
	89113	St U Rio Grande North	State University of Rio Grande of the North, Brazil
	89211	Inst U France	Institut Universitaire de France
	89224	ITB Inst Tech Bandung	Institute of Technology Bandung, Indonesia
89224	309666	Bosscha Obs	Bosscha Observatory, Indonesia
89224	A1522	ITB Dep Ast	Institute of Technology Bandung, Department of Astronomy, Indonesia
	89230	U Dakar	Cheikh Anta Diop University, Dakar
	89246	U Tunis	University of Tunis, Tunisia
	89268	Kobe	Kobe Steel Ltd
	89660	Qassim U	Qassim University, Saudi Arabia
	89687	Art Inst Chicago	Art Institute of Chicago
	91588	Liaoning Tech U	Liaoning Technical University, China
	91594	Anhui U Sci Tech	Anhui University of Science and Technology, China
91594	A1566	Anhui U Sci Tech Dep Ast	Anhui University of Science and Technology, Department of Astronomy
91594	A1567	Anhui U Sci Tech Dep Earth Sp Sci	Anhui University of Science and Technology, Department of Earth and Space Sciences
	91597	Tibet U	Tibet University, China
	91599	Nanjing U Tech	Nanjing University of Technology, China
	91725	Japan Hydrographic Ocean Dep	Japan Hydrographic and Oceanographic Department
	91861	U Craiova	University of Craiova
	92036	Remote Sensing Tech Ctr Japan	Remote Sensing Technology Center of Japan
	92037	Tohoku Natl Fisheries Res Inst	Tohoku National Fisheries Research Institute, Japan
	92055	Okayama Inst Quantum Phy	Okayama Institute for Quantum Physics, Japan
	92172	Natl Inst Fusion Sci Japan	National Institute for Fusion Science, Japan
	92265	Yuncheng U	Yuncheng University, China
	92270	Jiliang U	China Jiliang University
	92335	Mnstry Transport Comm Taiwan	Ministry of Transport and Communications, Taiwan
	92935	Acad Sci Cuba	Academy of Sciences, Cuba
	92955	U Kelaniya	University of Kelaniya, Sri Lanka
	92956	U Hassan II Casablanca	University Hassan II Casablanca, Morocco
	93049	DIAT	Defence Institute of Advanced Technology, Pune
	93064	Natl Remote Sensing Agency	National Remote Sensing Agency, India
	93083	Ind Inst Tropical Met Pune	Indian Institute of Tropical Meteorology, Pune
	93084	NIT Trichy	National Institute of Technology Tiruchirappalli, India
	93785	Cen Wthr Bureau Taiwan	Central Weather Bureau, Taiwan
	95183	AGU	American Geophysical Union
	95445	Diponegoro U	Diponegoro University, Indonesia
	95469	Open U Sri Lanka	Open University of Sri Lanka
	96648	FNRS	Fonds de la Recherche Scientifique
	96949	British Lib	British Library Boston Spa
	96984	Catholic U Brescia	Catholic University of Brescia
	97007	Jt Ast Ctr	Joint Astronomy Centre
97008	381668	RAL Sp Sci Tech Dep	RAL, Space Science and Technology Department
97032	57507	LGGE	Laboratoire de Glaciologie et Geophysique de l'Environnement
97032	129767	Inst Neel	Institute Neel, Grenoble
	97828	Tokyo Metro Gov	Tokyo Metropolitan Government
	97890	IRSST	Robert-Sauve Research Institute for Health and Safety at Work, Montreal
	97974	Favoloro U	Favoloro University, Argentina
	97983	Tribhuvan U Nepal	Tribhuvan University, Nepal
	98503	Austr Res Council	Australian Research Council
98503	A1659	Ctr Excel Ore Dep	Centre of Excellence in Ore Deposits
98503	A1660	Antarc Cli Ecosys Coop Res Ctr	Antarctic Climate and Ecosystems Cooperative Research Centre
98503	A1661	CAASTRO	Centre for Excellence for All Sky Astrophysics
98503	A1662	CCFS	Centre of Excellence for Core to Crust Fluid Systems
	98799	Al-Farabi Kazakh Natl U	Al-Farabi Kazakh National University
	98801	Amer U Beirut	American University of Beirut
	99007	Ind Inst Sci Educ Res Calcutta	Indian Institute of Science Education and Research, Calcutta
	99013	Ispra Euro Comm Jt Res Ctr	Ispra, European Commission Joint Research Center
	99055	Holon Inst Tech	Holon Institute of Technology, Israel
	99404	U Namibia	University of Namibia
	102654	U Nizwa	University of Nizwa, Oman
	104631	Dubna Intl U	Dubna International University
	104652	NITU	National University of Science and Technology, Moscow
	104670	NIRFI	Radiophysical Research Institute, Moscow
	104686	Novosibirsk St Tech U	Novosibirsk State Technical University
	104710	Rostov Sthrn Fed U	Rostov Southern Federal University
104710	243808	Rostov Sthrn Fed U Inst Phy	Rostov Southern Federal University, Institute of Physics
	104723	Vavilov St Opt Inst	Vavilov State Optics Institute
	104732	Syktyvkar Forest Inst	Syktyvkar Forest Institute
	104881	Fed Res Ctr Fish	Federal Research Centre for Fisheries, Hamburg
	105344	Ecole Cen Marseille	Ecole Centrale de Marseille
105344	131923	Inst Fresnel	Fresnel Institute Marseille
	105364	ENSCPB	Ecole Nationale Superieure de Chimie de Biologie, Bordeaux
	105408	ISEN Lille	Institut Superieur d'Electronique Numeri, Lille
	105430	Yerevan St U	Yerevan State University
105430	A1452	Garny Sp Ast Inst	Garny Space Astronomy Institute
	105450	Natl Library Republic Moldova	National Library of the Republic of Moldova
	105468	Vytautas Magnus U	Vytautas Magnus University, Lithuania
	105797	Guiyang U	Guiyang University, China
	105809	Jing Gangshan U	Jing Gangshan University, China
	105909	Hankyong Natl U	Hankyong National University, Korea
	105955	Khalifa U Sci Tech Res	Khalifa University of Science Technology and Research, UAE
	106026	Wesleyan U	Wesleyan University
106026	A1029	Wesleyan U Dep Ast	Wesleyan University, Department of Astronomy
	106100	U Sumatera Utara	Universitas Sumatera Utara, Indonesia
	106103	Haluoleo U	Haluoleo University, Indonesia
	106190	Natl U Mongolia	National University of Mongolia
	106242	Sepuluh ITS	Sepuluh Nopember Institute of Technology, Indonesia
	106251	U Negeri Malang	Universitas Negeri Malang, Indonesia
	107629	Fujian Acad Agr Sci	Fujian Academy of Agricultural Sciences
	107660	U Dar es Salaam	University of Dar es Salaam, Tanzania
	107736	U Mhd V Agdal	University Mohammed V Agdal, Morocco
	107738	Fed U Tech Akure	Federal University of Technology Akure, Nigeria
	107745	U Benin	University of Benin, Nigeria
	107747	U Bangui	University of Bangui, Central African Republic
	107750	U Ouagadougou Burkina Faso	University of Ouagadougou, Burkina Faso
	107751	U Yaounde I	University of Yaounde I, Cameroon
	107769	U Nigeria	University of Nigeria
	107788	U Burundi	University of Burundi
	107790	U Abomey-Calavi	University of Abomey-Calavi, Benin
	107811	U Cadi Ayyad	University Cadi Ayyad, Morocco
	107832	U Oran	University of Oran, Algeria
	107834	U Asmara	University of Asmara, Eritrea
	107853	Moi U	Moi University, Kenya
	107854	U Nairobi	University of Nairobi
	107864	Kenyatta U	Kenyatta University, Kenya
	107907	U Sidi Mhd Ben Abdallah	University Sidi Mhd Ben Abdallah, Morocco
	108005	Rivers St U Sci Tech	Rivers State University of Science and Technology, Nigeria
	108012	U Uyo	University of Uyo, Nigeria
	108042	Damascus U	Damascus University, Syria
	108123	Mbarara U Sci Tech	Mbarara University of Science and Technology, Uganda
	108234	U Zambia	University of Zambia
	108243	Natl U Sci Tech Zimbabwe	National University, of Science and Technology, Zimbabwe
	108285	U Ilorin	University of Ilorin, Nigeria
	108308	Ibn Tofail U	Ibn Tofail University, Morocco
	108491	U Baghdad	University of Baghdad
	108522	Sanaa U	Sanaa University, Yemen
	108853	Intl Inst Earthquake Seis	International Institute of Earthquake Seismology, Iran
	108871	KN Toosi U	KN Toosi University, Iran
	108950	Malek Ashtar U Tech	Malek Ashtar University of Technology
	110120	Modern U Tech Info	Modern University for Technology and Information, Egypt
	111111	U Paris APC	Universite de Paris, APC, Astroparticule et Cosmologie
	111229	Kiev Shevchenko Natl U	Kiev Shevchenko National University
111229	231835	Main Ast Obs Kiev	Main Astronomical Observatory, Kiev
111229	A1445	Kiev Shevchenko Natl Dep Phy Ast	Kiev Shevchenko National University, Department of Physics and Astronomy
	111230	NASU	NASU National Academy of Sciences of Ukraine
111230	124296	NASU Inst Phy Eng Donetsk	NASU, Institute for Physics and Engineering, Donetsk
111230	132059	NASU Inst Radiophy Elec Kharkov	NASU, Institute of Radiophysics and Electronics, Kharkov
111230	132060	NASU Inst Low Temp Phy Eng Kharkov	NASU, Institute of Low Temperature Physics and Engineering, Kharkov
111230	132061	NASU Inst Phy Tech Kharkov	NASU, Institute of Physics and Technology, Kharkov
111230	199832	NASU Inst Rad Ast Kharkov	NASU, Institute of Radio Astronomy, Kharkov
111230	202064	NASU Dep Phy Ast	NASU, Department of Physics and Astronomy
111230	202067	NASU Inst Nuc Res Kiev	NASU, Institute for Nuclear Research, Kiev
111230	202068	NASU Sci Res Inst	NASU, Dnepropetrovsk Scientific Research Institute
111230	230200	Crimean Astrop Obs	Crimean Astrophysical Observatory
111230	231804	NASU Inst Botany Kiev	NASU, Institute of Botany, Kiev
111230	231832	NASU Inst Geop Kiev	NASU, Institute of Geophysics, Kiev
111230	231835	Main Ast Obs Kiev	Main Astronomical Observatory, Kiev
111230	231848	NASU Inst Theo Phy Kiev	NASU, Institute for Theoretical Physics, Kiev
111230	288071	Ukrainian Natl Mus Nat Hist	Ukrainian National Museum of Natural History
111230	A1443	NASU Sp Res Inst Lviv	NASU, Space Research Institute, Lviv
	111247	Karpov Inst Phy Chem	Karpov Institute of Physical Chemistry
	111281	Russian Ctr Hydromet Env Mon	Russian Center for Hydrometeorology and Environmental Monitoring
	111282	AAI	Arctic and Antarctic Research Center
	111285	Estonian Acad Sci	Estonian Academy of Sciences
111285	A1467	Tartu Obs	Tartu Observatory
	111289	Moldova St U Chisinau	Moldova State University, Chisinau
111289	A1459	Moldova St U Ast Obs	Moldova State University, Astronomical Observatory
111296	326020	UNAM Natl Ast Obs San Pedro Martir	UNAM, National Astronomical Observatory, San Pedro Martir
	111392	TU Lublin	Technical University of Lublin
	111417	Ped U Krakow	Pedagogical University of Krakow
	111591	Austrian Arch Inst	Austrian Archaeological Institute
	111604	DSTO Melbourne	Defence Science and Technology Organisation, Melbourne
	111865	Lviv Franko Natl U	Lviv Franko National University
111865	A1446	Lviv Franko Natl U Dep Phy Ast	Lviv Franko National University, Department of Physics and Astronomy
	112014	LIP	Laboratorio de Instrumentacao e Fisica Experimental de Particulas, Lisbon
	112015	Poly Inst Coimbra	Polytechnic Institute of Coimbra
	112047	INESC	Institute for Systems Engineering and Computers, Portugal
	112152	Tech Educ Inst Pireaus	Technical Educational Institute of Pireaus
	112156	Tech Educ Inst Ionian Islands	Technical Educational Institute of the Ionian Islands
	112169	NCMR	Helleic Center for Marine Research
	112170	Tech Educ Inst Lamia	Technical Educational Institute of Lamia
	112178	Tech Educ Inst Crete	Technical Educational Institute of Crete
	112192	Tech Educ Inst Chalkis	Technical Educational Institute of Chalkis
	112217	U W Macedonia	University of Western Macedonia
	112337	Albanian Acad Sci	Albanian Academy of Sciences
	112338	TU Tirana	Technical University of Tirana, Albania
	112354	U Sarajevo	University of Sarajevo
	112371	U Arch Cvl Eng Geod	University of Architecture Civil Engineering and Geodesy, Sofia
	112400	U Nis	University of Nis
	112478	Georgian NAS	Georgian National Academy of Sciences
112478	132042	Georgian NAS Inst Phy	Georgian National Academy of Sciences, Institute of Physics
112478	186953	Abastumani Astrop Obs	Abastumani Astrophysical Observatory
112478	186973	Georgian NAS Inst Geop	Georgian National Academy of Sciences, Institute of Geophysics
	112482	Tbilisi St U	Tbilisi State University
112482	361573	Tbilisi St U Inst Phy	Tbilisi State University, Institute of Physics
	112624	Iceland Met Inst	Iceland Meteorological Institute
	112657	Eurasian St Natl U	Eurasian State National University
	112678	Vilnius Gediminas Tech U	Vilnius Gediminas Technical University
	112700	Ventspils U Coll	Ventspils University College
112700	A1449	Ventspils Intl Rad Ast Ctr	Ventspils International Radio Astronomy Center
